speed_kmh,speed_over_limit,speed_ratio,direction_dx,direction_dy,path_length,displacement,straightness,turn_angle,wrong_way_score,seen_count,overspeeding,wrong_way,illegal_uturn
22,-28,,160,8,166,160,0.96,4,0.00,34,0,0,0
31,-19,,205,12,212,205,0.97,6,0.00,38,0,0,0
42,-8,,250,-7,258,250,0.97,5,0.00,44,0,0,0
48,-2,,280,5,292,280,0.96,8,0.00,47,0,0,0
64,14,,310,10,319,310,0.97,5,0.00,42,1,0,0
72,22,,360,-18,375,360,0.96,8,0.00,49,1,0,0
88,38,,410,8,438,410,0.94,9,0.00,51,1,0,0
24,-26,,-145,4,154,145,0.94,5,0.99,33,0,1,0
35,-15,,-210,-6,223,210,0.94,7,1.00,39,0,1,0
43,-7,,-260,9,278,260,0.94,8,0.99,45,0,1,0
31,-19,,-18,-220,234,221,0.94,9,1.00,41,0,1,0
18,-32,,42,18,150,46,0.31,142,0.10,34,0,0,1
26,-24,,55,-12,190,56,0.29,155,0.00,39,0,0,1
38,-12,,-35,45,225,57,0.25,166,0.72,44,0,0,1
44,-6,,20,-60,260,63,0.24,149,0.50,48,0,0,1
55,5,,-50,22,250,55,0.22,171,0.88,49,1,1,1
68,18,,-65,-18,290,67,0.23,158,0.95,53,1,1,1
30,-20,,85,45,310,96,0.31,135,0.00,42,0,0,1
47,-3,,-80,35,295,87,0.30,145,0.81,46,0,1,1
62,12,,-40,60,275,72,0.26,160,0.65,50,1,1,1
95.0,-5.0,0.95,0.0,0.0,199.5,171.0,0.96,0.0,0.0,27.0,0,0,0
48.0,8.0,1.2,0.0,0.0,100.80000000000001,86.4,0.96,0.0,0.0,26.0,1,0,0
26.0,-54.0,0.325,0.0,0.0,54.6,46.800000000000004,0.96,0.0,0.0,28.0,0,0,0
115.0,15.0,1.15,0.0,0.0,241.5,207.0,0.96,0.0,0.0,29.0,1,0,0
115.0,85.0,3.8333333333333335,0.0,0.0,241.5,207.0,0.96,0.0,0.0,24.0,1,0,0
87.0,-13.0,0.87,0.0,0.0,182.70000000000002,156.6,0.96,0.0,0.0,27.0,1,0,0
24.0,-6.0,0.8,0.0,0.0,50.400000000000006,43.2,0.96,0.0,0.0,25.0,0,0,0
119.0,59.0,1.9833333333333334,0.0,0.0,249.9,214.20000000000002,0.96,0.0,0.0,26.0,1,0,0
36.0,-44.0,0.45,0.0,0.0,75.60000000000001,64.8,0.96,0.0,0.0,28.0,0,0,0
114.0,84.0,3.8,0.0,0.0,239.4,205.20000000000002,0.96,0.0,0.0,26.0,1,0,0
107.0,27.0,1.3375,0.0,0.0,224.70000000000002,192.6,0.96,0.0,0.0,26.0,1,0,0
62.0,22.0,1.55,0.0,0.0,130.20000000000002,111.60000000000001,0.96,0.0,0.0,28.0,1,0,0
32.0,-68.0,0.32,0.0,0.0,67.2,57.6,0.96,0.0,0.0,25.0,0,0,0
99.0,19.0,1.2375,0.0,0.0,207.9,178.20000000000002,0.96,0.0,0.0,29.0,1,0,0
27.0,-53.0,0.3375,0.0,0.0,56.7,48.6,0.96,0.0,0.0,29.0,0,0,0
90.0,40.0,1.8,0.0,0.0,189.0,162.0,0.96,0.0,0.0,25.0,1,0,0
70.0,10.0,1.1666666666666667,0.0,0.0,147.0,126.0,0.96,0.0,0.0,27.0,1,0,0
90.0,40.0,1.8,0.0,0.0,189.0,162.0,0.96,0.0,0.0,24.0,1,0,0
73.0,-7.0,0.9125,0.0,0.0,153.3,131.4,0.96,0.0,0.0,29.0,0,0,0
78.0,28.0,1.56,0.0,0.0,163.8,140.4,0.96,0.0,0.0,29.0,1,0,0
52.0,22.0,1.7333333333333334,0.0,0.0,109.2,93.60000000000001,0.96,0.0,0.0,28.0,1,0,0
61.0,1.0,1.0166666666666666,0.0,0.0,128.1,109.8,0.96,0.0,0.0,24.0,1,0,0
